,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,element_type,id,now_cost,points_per_game,selected_by_percent,status,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
191,100.0,100.0,1,2,127,43,4.1,0.2,a,37,8.6,Dann,634,0,1,4,3,0,0,0,0,0,0,3,154,152.2,31.5,96.0,28.0
192,100.0,100.0,0,2,128,41,3.4,19.8,a,64,15.6,Kelly,1547,0,1,6,16,0,0,0,0,0,0,4,288,305.4,96.5,15.0,41.7
193,100.0,100.0,0,4,129,57,1.6,0.6,a,33,5.8,Benteke,916,1,1,4,11,0,0,0,4,0,0,1,106,181.6,221.2,455.0,85.7
194,0.0,0.0,0,4,130,43,2.5,1.9,n,15,3.5,Wickham,90,1,1,0,2,0,0,0,0,0,0,2,48,59.8,34.5,64.0,15.8
195,100.0,100.0,3,1,131,50,4.3,2.1,a,116,23.2,Guaita,2430,0,0,9,28,1,0,0,1,0,89,16,522,660.8,0.0,0.0,66.0
196,,,0,1,132,42,3.0,0.6,a,6,1.4,Hennessey,180,0,0,0,4,0,0,0,0,0,13,0,42,87.4,0.0,0.0,8.7
197,100.0,100.0,1,3,133,67,3.3,9.5,a,95,14.2,Zaha,2545,3,5,8,32,0,0,0,4,0,0,4,267,468.0,456.5,830.0,175.7
198,100.0,100.0,1,3,134,67,2.7,1.9,a,62,9.3,Milivojevic,1985,2,1,6,26,0,0,0,9,0,0,7,300,361.6,437.7,151.0,95.0
199,100.0,100.0,0,3,135,56,2.3,0.9,a,34,6.1,Townsend,791,1,1,3,12,0,0,0,0,0,0,0,141,167.8,132.8,70.0,37.1
200,100.0,100.0,0,3,136,52,1.4,0.1,a,18,3.5,Meyer,541,0,0,1,7,0,0,0,1,0,0,0,43,49.8,27.4,94.0,16.9
201,100.0,100.0,1,3,137,54,2.9,0.1,a,40,7.4,Schlupp,856,2,1,4,12,0,0,0,2,0,0,3,121,198.0,95.3,233.0,52.7
202,100.0,100.0,0,3,138,52,2.7,0.6,a,75,14.4,McArthur,2426,0,4,10,25,0,0,0,5,0,0,2,344,491.0,348.8,341.0,118.3
